,disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,cap_gains_over_200_usd
73,2020,04/28/2020,2020-02-24,joint,BHC,Bausch Health Companies Inc.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
74,2020,04/28/2020,2020-03-06,joint,BAH,Booz Allen Hamilton Holding Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,True
75,2020,04/28/2020,2020-03-23,joint,BYD,Boyd Gaming Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
76,2020,04/28/2020,2020-02-04,joint,CTLT,"Catalent, Inc.",purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
77,2020,04/28/2020,2020-03-18,joint,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
78,2020,04/28/2020,2020-03-24,joint,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
79,2020,04/28/2020,2020-03-31,joint,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
80,2020,04/28/2020,2020-02-26,joint,DPZ,Domino's Pizza Inc,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,True
81,2020,04/28/2020,2020-02-05,joint,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
82,2020,04/28/2020,2020-02-24,joint,ENV,"Envestnet, Inc",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
83,2020,04/28/2020,2020-02-21,joint,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
84,2020,04/28/2020,2020-03-06,joint,AQUA,Evoqua Water Technologies Corp.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
85,2020,04/28/2020,2020-03-17,joint,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
86,2020,04/28/2020,2020-02-24,joint,MAS,Masco Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,False
