,disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,cap_gains_over_200_usd
23,2022,10/18/2022,2022-09-08,,--,Harris County TX 5%,sale_full,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
24,2022,10/18/2022,2022-09-08,,--,Main Mun Bd BK 5% 09/01/27,sale_full,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
25,2022,10/18/2022,2022-09-14,,--,New York St 5% 06/15/27,sale_full,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
26,2022,10/18/2022,2022-09-09,,--,Utility Debt NY 5% 12/15/29,sale_full,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
27,2022,07/28/2022,2022-06-16,,ACAD,ACADIA Pharmaceuticals Inc,sale_full,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
28,2022,07/28/2022,2022-06-21,,AGNC,AGNC Investment Corp,purchase,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
29,2022,07/28/2022,2022-06-16,,ALLK,Allakos Inc,purchase,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
30,2022,07/28/2022,2022-06-16,,PLAN,Anaplan Inc,sale_full,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
31,2022,07/28/2022,2022-06-16,,ASB,Associated Banc-Corp,purchase,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
32,2022,07/28/2022,2022-06-16,,BCEL,Atreca Inc - Class A,purchase,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
33,2022,07/28/2022,2022-06-16,,AXSM,Axsome Therapeutics Inc,purchase,"$15,001 - $50,000",Hon. Christopher L. Jacobs,NY27,False
34,2022,07/28/2022,2022-06-16,,SQ,Square Inc Class A Common Stock,sale_full,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
35,2022,07/28/2022,2022-06-21,,BRMK,Broadmark Realty Capital Inc,purchase,"$1,001 - $15,000",Hon. Christopher L. Jacobs,NY27,False
